Name;CodIBGE;Categoria;Longitude;Latitude
BRAGANEY;4103354;CIDADE;-53.1210736649672;-24.8148946319132
IGUATU;4110052;CIDADE;-53.0860050753783;-24.7112618437246
TUPÃSSI;4127957;CIDADE;-53.51449531483031;-24.5798134081611
ASSIS CHATEAUBRIAND;4102000;CIDADE;-53.5212369274392;-24.4085300842051
JESUÍTAS;4112751;CIDADE;-53.3881148800191;-24.3772489090173
IRACEMA DO OESTE;4110656;CIDADE;-53.358110555243;-24.4290304145846
BRASILÂNDIA DO SUL;4103370;CIDADE;-53.52404181355671;-24.1938462804714
FORMOSA DO OESTE;4108205;CIDADE;-53.31616101073949;-24.2941972130191
ALTO PIQUIRI;4100707;CIDADE;-53.4412490788684;-24.0190125557152
NOVA AURORA;4116703;CIDADE;-53.2575255396178;-24.5284853282826
UBIRATÃ;4128005;CIDADE;-52.9945060158455;-24.5410348842787
MARILUZ;4115101;CIDADE;-53.15152581889491;-24.00373262907191
QUARTO CENTENÁRIO;4120655;CIDADE;-53.0752885848612;-24.2790209170507
GOIOERÊ;4108601;CIDADE;-53.0273189133007;-24.1891883931559
MOREIRA SALES;4116109;CIDADE;-53.01344656966341;-24.0447582362327
VILA BELA DA SANTÍSSIMA TRINDADE;5105507;CIDADE;-59.95255819947811;-15.009324478308
CONQUISTA D'OESTE;5103361;CIDADE;-59.5450742072991;-14.5362728145169
NOVA LACERDA;5106182;CIDADE;-59.5903305027945;-14.4697889935471
PORTO ESPERIDIÃO;5106828;CIDADE;-58.46929874225211;-15.8576348614212
INDIAVAÍ;5104500;CIDADE;-58.5739923860232;-15.4975142290697
GLÓRIA D'OESTE;5103957;CIDADE;-58.31448558872399;-15.7679623090543
SÃO JOSÉ DOS QUATRO MARCOS;5107107;CIDADE;-58.176505937373;-15.6271057361822
PONTES E LACERDA;5106752;CIDADE;-59.3380018443657;-15.2297275706311
VALE DE SÃO DOMINGOS;5108352;CIDADE;-59.06457115722701;-15.2958978413495
JAURU;5105002;CIDADE;-58.8798383973631;-15.3418963810325
FIGUEIRÓPOLIS D'OESTE;5103809;CIDADE;-58.7378245488632;-15.4461351141469
ARAPUTANGA;5101258;CIDADE;-58.3483671518683;-15.4681442691829
RIO BRANCO;5107206;CIDADE;-58.1179393479916;-15.2356828096646
RESERVA DO CABAÇAL;5107156;CIDADE;-58.3853645299516;-15.1224095307099
SALTO DO CÉU;5107750;CIDADE;-58.1267518070165;-15.1358245742926
PORTO MURTINHO;5006903;CIDADE;-57.8884823022607;-21.707324558183
CARACOL;5002803;CIDADE;-57.0259387643523;-22.0127382885385
